id,source_type,domain,source_text,current_zh,suggested_zh,status,priority,tags,notes
tr-news-001,news,f1_news_title,"Oscar Piastri to Red Bull? Why a Max Verstappen Swap Could Be the Best Move of His F1 Career","奥斯卡·Piastri呼叫红牛? 为什么一个Max Verstappen 交换可能是他F1职业生涯中最好的动作","Oscar Piastri 去 Red Bull？为什么与 Max Verstappen 互换可能有利于他的 F1 生涯",approved,high,"rumor,contract,headline","传闻标题，需保留问号和不确定性"
tr-news-002,news,f1_news_title,"Piastri's podium push as Bezzecchi crashes out","Piastri的讲台在贝泽奇崩溃时推倒了","Piastri 冲击领奖台，Bezzecchi 退赛",approved,medium,"headline,result","可能来自综合体育视频标题，确认是否真与 F1 同篇展示"
tr-news-003,news,f1_news_title,"‘Surprised’ Oscar Piastri sends reminder despite missing Austrian Grand Prix podium","尽管奥地利大奖赛主席台不见了,","无缘奥地利站领奖台后，“惊喜”Piastri 仍发出提醒",approved,high,"race,result,headline","surprised 可能指本人赛后表态，需核对正文"
tr-news-004,news,f1_news_title,"Piastri fourth as Russell holds on for Austrian F1 win","Piastri以第四名的成绩获得奥地利F1冠军","Russell 守住奥地利站胜利，Piastri 第四完赛",approved,high,"race,result,headline","当前译文把胜者误给 Piastri"
tr-news-005,news,f1_news_title,"F1 stewards make call on Oscar Piastri punishment and overturning result after investigation","F1管理者呼吁Oscar Piastri惩罚,","F1 干事调查后决定是否处罚 Piastri、是否改写赛果",approved,high,"stewards,penalty,headline","stewards 统一译为干事；避免呼吁"
tr-news-006,news,f1_news_title,"‘Night and day’: Piastri turns McLaren weekend around in Austria","""夜以继日"":Piastri在奥地利转过麦拉伦周末","“判若两人”：Piastri 在奥地利扭转 McLaren 周末走势",approved,high,"race,team,headline","night and day 是差异巨大，不是夜以继日"
tr-news-007,news,f1_news_title,"Piastri-Max swap rumour reignites as McLaren chief’s ‘banana peel’ answer causes stir","Piastri-Max将谣言交换为麦拉伦酋长的""香蕉皮"",","McLaren 高层“香蕉皮”回答引热议，Piastri 与 Max 互换传闻再起",approved,high,"rumor,contract,headline","chief 可译高层；Max 指 Verstappen"
tr-news-008,news,f1_news_title,"FIA Stewards Clear Oscar Piastri After Austrian Grand Prix Investigation","FIA 管理者 Clear Oscar Piastri 在奥地利大奖赛调查之后","奥地利站调查后，FIA 干事认定 Piastri 无需处罚",approved,high,"stewards,penalty,headline","clear 在此为免罚/无进一步行动"
tr-news-009,news,f1_news_title,"Stewards deliver verdict after Piastri summons following Austrian GP","主管在Piastri传票后作出判决","奥地利站后 Piastri 被传唤，干事公布裁定",approved,high,"stewards,penalty,headline","summons 是赛会传唤，不是法律传票"
tr-news-010,news,f1_news_title,"George Russell takes pole at Austrian GP despite yellow flag controversy as Oscar Piastri banks seventh","George Russell不顾黄旗争议, 在奥地利GP拿起杆子,","Russell 在黄旗争议中拿下奥地利站杆位，Piastri 排位第七",approved,high,"qualifying,pole,headline","banks seventh 在排位语境为锁定第七"
